user_id,handle_profile,ip_profile,country,region,signup_ts,handle_latest_action,ip_latest_action,country_latest_action,region_latest_action,action_type,reason,action_ts,admin_user_id,profile_url
100000,user100000,220.135.163.183,CA,ON,37:49.4,user100000,220.135.163.183,CA,ON,WARN,Misinformation,13:01.7,9,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_0.jpg
100001,user100001,220.14.120.138,JP,TK,07:18.4,user100001,220.14.120.138,JP,TK,FLAG,Harassment,41:13.1,3,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_1.jpg
100002,user100002,80.144.182.223,DE,NW,29:05.0,user100002,80.144.182.223,DE,NW,WARN,Copyright Violation,57:07.9,45,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_2.jpg
100003,user100003,106.217.205.70,IN,DL,10:47.3,user100003,106.217.205.70,IN,DL,FLAG,Hate Speech,06:45.3,10,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_3.jpg
100004,user100004,44.73.45.228,US,NY,04:14.9,user100004,44.73.45.228,US,NY,BAN,Misinformation,28:16.5,6,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_4.jpg
100005,user100005,184.107.84.82,US,NY,45:50.3,user100005,184.107.84.82,US,NY,TIMEOUT,Adult Content,20:31.9,34,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_5.jpg
100006,user100006,250.107.185.21,US,CA,45:11.1,user100006,250.107.185.21,US,CA,SUSPEND,Harassment,42:09.4,10,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_6.jpg
100007,user100007,196.178.161.219,BR,SP,00:57.5,user100007,196.178.161.219,BR,SP,BAN,Hate Speech,22:36.1,15,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_7.jpg
100008,user100008,7.70.127.143,IN,TN,14:23.0,user100008,7.70.127.143,IN,TN,WARN,Copyright Violation,36:18.4,5,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_8.jpg
100009,user100009,210.160.248.203,DE,BE,58:54.7,user100009,210.160.248.203,DE,BE,WARN,Spam,28:43.9,33,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_9.jpg
100010,user100010,148.216.143.176,US,CA,15:16.6,user100010,148.216.143.176,US,CA,DELETE_POST,Copyright Violation,28:32.2,18,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_10.jpg
100011,user100011,199.149.170.154,JP,TK,34:32.4,user100011,199.149.170.154,JP,TK,WARN,Misinformation,22:44.1,21,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_11.jpg
100012,user100012,236.120.128.142,BR,RJ,23:05.9,user100012,236.120.128.142,BR,RJ,SUSPEND,Spam,51:55.0,15,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_12.jpg
100013,user100013,57.165.58.21,US,NY,40:10.5,user100013,57.165.58.21,US,NY,SUSPEND,Adult Content,43:51.3,30,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_13.jpg
100014,user100014,82.69.131.87,US,CA,03:52.5,user100014,82.69.131.87,US,CA,DELETE_POST,Adult Content,19:30.6,24,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_14.jpg
