user_id,handle_profile,ip_profile,country_profile,region_profile,signup_ts,handle_latest_action,ip_latest_action,country_latest_action,region_latest_action,action_type,reason,action_ts,admin_user_id,profile_photo
100000,user100000,220.135.163.183,CA,ON,2021-01-01 04:37:49.432177152,user100000,220.135.163.183,CA,ON,WARN,Misinformation,2025-04-04 05:13:01.710503424,9,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_0.jpg
100001,user100001,220.14.120.138,JP,TK,2022-12-07 21:07:18.386203648,user100001,220.14.120.138,JP,TK,FLAG,Harassment,2025-05-16 01:41:13.122887168,3,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_1.jpg
100002,user100002,80.144.182.223,DE,NW,2024-09-22 16:29:04.994609408,user100002,80.144.182.223,DE,NW,WARN,Copyright Violation,2025-05-07 09:57:07.853240064,45,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_2.jpg
100003,user100003,106.217.205.70,IN,DL,2023-12-19 08:10:47.307484928,user100003,106.217.205.70,IN,DL,FLAG,Hate Speech,2025-04-13 04:06:45.313463808,10,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_3.jpg
100004,user100004,44.73.45.228,US,NY,2024-05-14 09:04:14.920603392,user100004,44.73.45.228,US,NY,BAN,Misinformation,2025-05-02 11:28:16.471741440,6,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_4.jpg
100005,user100005,184.107.84.82,US,NY,2023-07-27 01:45:50.344168192,user100005,184.107.84.82,US,NY,TIMEOUT,Adult Content,2025-06-09 05:20:31.949046272,34,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_5.jpg
100006,user100006,250.107.185.21,US,CA,2023-10-01 07:45:11.054849280,user100006,250.107.185.21,US,CA,SUSPEND,Harassment,2025-06-13 23:42:09.433549824,10,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_6.jpg
100007,user100007,196.178.161.219,BR,SP,2024-08-06 17:00:57.495991808,user100007,196.178.161.219,BR,SP,BAN,Hate Speech,2025-05-16 14:22:36.139834624,15,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_7.jpg
100008,user100008,7.70.127.143,IN,TN,2021-05-08 20:14:22.979627776,user100008,7.70.127.143,IN,TN,WARN,Copyright Violation,2025-05-31 13:36:18.449684224,5,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_8.jpg
100009,user100009,210.160.248.203,DE,BE,2022-08-26 01:58:54.746641920,user100009,210.160.248.203,DE,BE,WARN,Spam,2025-05-09 16:28:43.913888768,33,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_9.jpg
100010,user100010,148.216.143.176,US,CA,2021-03-13 13:15:16.639416576,user100010,148.216.143.176,US,CA,DELETE_POST,Copyright Violation,2025-06-13 00:28:32.173223424,18,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_10.jpg
100011,user100011,199.149.170.154,JP,TK,2025-05-07 14:34:32.432220416,user100011,199.149.170.154,JP,TK,WARN,Misinformation,2025-05-27 19:22:44.135537408,21,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_11.jpg
100012,user100012,236.120.128.142,BR,RJ,2025-02-10 08:23:05.904970496,user100012,236.120.128.142,BR,RJ,SUSPEND,Spam,2025-05-10 09:51:55.015376640,15,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_12.jpg
100013,user100013,57.165.58.21,US,NY,2020-03-18 23:40:10.521428480,user100013,57.165.58.21,US,NY,SUSPEND,Adult Content,2025-06-11 20:43:51.272881152,30,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_13.jpg
100014,user100014,82.69.131.87,US,CA,2023-10-27 15:03:52.522792960,user100014,82.69.131.87,US,CA,DELETE_POST,Adult Content,2025-03-08 08:19:30.571901184,24,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_14.jpg
100015,user100015,218.165.216.49,US,NY,2025-01-04 03:23:17.247683328,user100015,218.165.216.49,US,NY,SUSPEND,Adult Content,2025-04-28 10:13:09.577032448,22,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_15.jpg
100016,user100016,147.115.89.85,GB,NIR,2020-12-23 04:16:22.021985280,user100016,147.115.89.85,GB,NIR,WARN,Copyright Violation,2025-06-02 07:01:27.316260864,11,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_16.jpg
100017,user100017,128.140.249.189,IN,DL,2023-01-28 09:29:45.545260032,user100017,128.140.249.189,IN,DL,DELETE_POST,Adult Content,2025-06-08 05:20:42.934302720,35,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_17.jpg
100018,user100018,169.161.178.117,CA,AB,2024-12-15 20:03:37.667158272,user100018,169.161.178.117,CA,AB,WARN,Misinformation,2025-04-30 13:10:42.628872448,19,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_18.jpg
100019,user100019,196.127.234.249,GB,WLS,2020-03-08 03:29:00.583530240,user100019,196.127.234.249,GB,WLS,WARN,Copyright Violation,2025-06-10 21:15:10.660559104,5,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_19.jpg
100020,user100020,71.86.247.33,IN,MH,2023-10-11 11:56:05.736271104,user100020,71.86.247.33,IN,MH,DELETE_POST,Harassment,2025-06-06 10:02:51.116724992,34,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_20.jpg
100021,user100021,81.152.61.61,US,NY,2021-08-11 03:45:07.480762880,user100021,81.152.61.61,US,NY,SUSPEND,Adult Content,2025-04-30 00:24:30.837708288,36,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_21.jpg
100022,user100022,98.28.186.43,GB,NIR,2025-01-02 10:56:10.272892672,user100022,98.28.186.43,GB,NIR,FLAG,Misinformation,2025-05-22 08:03:11.846048000,34,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_22.jpg
100023,user100023,169.167.86.177,GB,WLS,2025-04-04 18:04:37.252165376,user100023,169.167.86.177,GB,WLS,DELETE_POST,Copyright Violation,2025-06-01 23:37:39.792886016,7,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_23.jpg
100024,user100024,17.98.198.238,AU,QLD,2025-02-10 18:13:07.576294656,user100024,17.98.198.238,AU,QLD,TIMEOUT,Adult Content,2025-05-07 07:17:21.264080640,20,https://raw.githubusercontent.com/kellymm21/moderation-dashboard/main/assets/fake_faces/user_24.jpg
